ID,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Number of Languages,Number of Genres,In-App Purchase Present
1141358828,4.5,9827.0,0.0,"11.99, 13.99, 4.99, 3.99, 2.99, 9.99, 4.99, 4.99, 19.99, 0.99",4+,EN,931419136.0,"Games, Action, Strategy, Entertainment",1,4,N
1142106736,5.0,10776.0,0.0,,4+,EN,158354432.0,"Games, Strategy, Entertainment, Puzzle",1,4,Y
1142503313,5.0,5346.0,0.0,"4.99, 4.99, 1.99, 9.99, 0.99, 1.99, 4.99, 6.99, 9.99, 4.99",9+,EN,140959744.0,"Games, Simulation, Strategy",1,3,N
1142744199,5.0,29978.0,0.0,"4.99, 0.99, 4.99, 9.99, 0.99, 0.99, 2.99, 19.99, 4.99, 0.99",12+,"EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, TR",176057344.0,"Games, Entertainment, Strategy, Action",12,4,N
1142926887,4.5,648.0,0.0,"2.99, 29.99, 2.99, 9.99, 29.99, 99.99, 4.99, 29.99, 99.99, 29.99",12+,"EN, FR, DE, JA, KO, ZH, TH, ZH",1866854400.0,"Games, Role Playing, Strategy",8,3,N
1143052259,4.5,12333.0,0.0,"4.99, 9.99, 19.99, 0.99, 49.99, 99.99, 19.99, 19.99, 4.99, 19.99",12+,"AR, EN, FR, DE, IT, PT, RU, ES, TR",219468800.0,"Games, Entertainment, Strategy, Action",9,4,N
1145420529,4.5,27120.0,0.0,"6.99, 1.99, 3.99, 14.99, 15.99, 2.99, 1.99, 2.99, 4.99, 28.99",4+,"AR, NL, EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, TR",119742464.0,"Games, Strategy, Sports, Sports",14,4,N
1146355499,4.5,11069.0,0.0,"1.99, 1.99, 3.99, 9.99, 9.99, 19.99, 2.99, 2.99, 14.99, 11.99",4+,"AR, EN, FR, DE, ID, IT, JA, KO, PT, RU, ZH, ES, TH, ZH, TR",461278208.0,"Games, Simulation, Strategy",15,3,N
1149469055,4.5,2181.0,0.0,"1.99, 9.99, 19.99",12+,EN,349042688.0,"Games, Role Playing, Entertainment, Strategy",1,4,N
1149474432,4.5,3711.0,0.0,"4.99, 0.99, 9.99, 19.99, 0.99, 19.99, 9.99, 4.99, 9.99, 4.99",12+,EN,273998848.0,"Games, Strategy, Action",1,3,N
1149631667,4.0,2644.0,0.0,"0.99, 0.99, 4.99, 4.99, 9.99, 4.99, 4.99, 9.99, 4.99, 9.99",9+,"AR, EN, FR, DE, ID, RU, ZH, ES, TR, UR",334893056.0,"Games, Role Playing, Strategy",10,3,N
1150534552,4.5,10241.0,3.99,"35.99, 6.99, 7.99, 6.99, 6.99, 7.99, 35.99, 1.99, 6.99, 6.99, 7.99, 3.99, 3.99, 4.99, 6.99, 1.99",12+,"EN, FR, DE, IT, JA, ES",1139130368.0,"Games, Board, Strategy",6,3,N
1153461915,5.0,58786.0,0.0,"9.99, 19.99, 49.99, 69.99, 0.99, 3.49, 9.99, 0.99, 9.99, 14.99, 4.99, 4.99, 99.99, 29.99, 9.99, 9.99, 49.99",9+,"EN, JA, ZH, ZH",226379776.0,"Games, Strategy, Role Playing",4,3,N
1153965204,4.5,939.0,0.0,"5.99, 2.99, 0.99, 3.99, 1.99, 2.99, 2.99, 1.99, 0.99, 14.99",4+,EN,269974528.0,"Games, Strategy, Racing",1,3,N
1154749673,4.0,1213.0,0.0,"0.99, 4.99, 9.99, 19.99, 25.99, 2.99, 9.99, 0.99, 4.99, 19.99, 25.99",12+,EN,849073152.0,"Games, Board, Strategy",1,3,N
1155324155,4.5,18935.0,0.0,"1.99, 4.99, 4.99, 9.99, 1.99, 2.99, 4.99, 2.99, 9.99, 19.99",4+,"ZH, EN, FR, DE, IT, JA, KO, PT, RU, ES",507850752.0,"Games, Casual, Strategy, Entertainment",10,4,N
1155872264,4.5,3543.0,0.0,"4.99, 99.99, 9.99, 49.99, 19.99, 0.99, 1.99, 9.99",12+,"AR, BN, BG, CA, HR, CS, DA, NL, EN, FI, FR, DE, EL, GU, HE, HI, HU, ID, IT, JA, KN, KO, LV, MS, ML, MR, NB, FA, PL, PT, PA, RO, RU, ZH, SK, SL, ES, SV, TA, TE, TH, ZH, TR, UK, VI",287166464.0,"Games, Strategy, Entertainment, Simulation",45,4,N
1156555010,4.5,1026.0,0.0,"4.99, 10.99, 20.99, 99.99, 49.99, 4.99, 4.99, 10.99, 20.99, 99.99",4+,"AR, CS, DA, NL, EN, ET, FI, FR, DE, EL, HE, HI, HU, IS, ID, IT, JA, KO, MS, NB, PL, PT, RU, ZH, SL, ES, SV, TH, ZH, TR, VI",56547328.0,"Games, Business, Board, Strategy",31,4,N
1156787368,4.5,28277.0,0.0,"4.99, 9.99, 19.99, 99.99, 0.99, 49.99, 1.99",12+,"EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH",180568064.0,"Games, Simulation, Strategy",11,3,N
1159292704,4.5,613.0,0.0,"9.99, 4.99, 2.99, 99.99, 29.99, 4.99, 49.99, 0.99, 9.99, 26.99",9+,"EN, ID, JA, KO, ZH, TH, ZH, VI",477555712.0,"Games, Strategy, Role Playing, Entertainment",8,4,N
1159441255,4.0,11538.0,0.0,"9.99, 4.99, 9.99, 9.99, 19.99, 4.99, 4.99, 14.99, 14.99, 19.99",12+,"EN, FR, DE, IT, PT, ES",377006080.0,"Games, Role Playing, Strategy",6,3,N
1160056295,4.5,231877.0,0.0,"0.99, 9.99, 4.99, 19.99, 9.99, 29.99, 49.99, 99.99, 9.99, 0.99",12+,"AR, MY, EN, FR, DE, ID, IT, JA, KO, MS, RU, ES, TH, ZH, TR",252019712.0,"Games, Entertainment, Action, Strategy",15,4,N
1160925301,4.5,1841.0,0.0,"4.99, 99.99, 29.99, 1.99, 29.99, 9.99, 9.99, 4.99, 29.99, 19.99",9+,EN,148500480.0,"Games, Strategy, Role Playing",1,3,N
1162580001,5.0,12383.0,4.99,,4+,"CS, NL, EN, FR, DE, EL, HU, IT, KO, PL, PT, RU, ES, SV, TR, UK",183531520.0,"Games, Simulation, Strategy",16,3,Y
1163240549,4.5,12346.0,0.0,"19.99, 9.99, 4.99, 79.99, 49.99, 9.99, 9.99, 4.99, 19.99, 19.99",4+,EN,253040640.0,"Games, Simulation, Strategy",1,3,N
